subset,algorithm,image,psnr,ssim,entropy,edge_vis,niqe,time_ms
indoor,DCP,1400_1.png,20.33016140159864,0.8985781669616699,7.670354998743803,0.4624438990182328,,48.03818599998522
indoor,DCP-Improved,1400_1.png,19.324704584865,0.8390429615974426,7.640057821134264,0.5191269284712482,,110.2342699999781
indoor,DCP,1400_10.png,18.464464135974083,0.8320950865745544,7.6366946807243155,0.444624824684432,,45.504542999992736
indoor,DCP-Improved,1400_10.png,14.95350549118796,0.7678074836730957,7.406854325862088,0.4711781206171108,,104.98470099992119
indoor,DCP,1400_2.png,20.171193732961143,0.8915360569953918,7.670936330239076,0.4588709677419355,,45.17989199996464
indoor,DCP-Improved,1400_2.png,18.523556061435343,0.8252498507499695,7.593603653167191,0.519351332398317,,105.69764000001669
indoor,DCP,1400_3.png,20.05836241202411,0.8838422894477844,7.671553682565041,0.4607643758765778,,45.7352969999647
indoor,DCP-Improved,1400_3.png,17.859951722161014,0.8129584789276123,7.5629195078020315,0.5188569424964937,,105.65760299994054
indoor,DCP,1400_4.png,19.848800287472578,0.8767521977424622,7.667988839689089,0.45698106591865356,,45.79004100003203
indoor,DCP-Improved,1400_4.png,17.198054475264595,0.8006906509399414,7.54508601844207,0.5182012622720897,,106.65393900001163
indoor,DCP,1400_5.png,19.696313806838248,0.8686569333076477,7.665793058350814,0.45830294530154275,,45.39708499999051
indoor,DCP-Improved,1400_5.png,16.57180397244012,0.7894540429115295,7.526750656078209,0.5164060308555399,,106.25575999995363
indoor,DCP,1400_6.png,19.44974949211082,0.8615777492523193,7.661061688344236,0.45404978962131837,,45.50987300001452
indoor,DCP-Improved,1400_6.png,15.949065786842185,0.7787439227104187,7.520428419545471,0.515171809256662,,105.97080399998049
indoor,DCP,1400_7.png,19.262753794825002,0.8535917401313782,7.662196178151669,0.455,,45.536108999954195
indoor,DCP-Improved,1400_7.png,15.331986897849504,0.7681103348731995,7.520199897988215,0.5124193548387097,,106.38155699996332
indoor,DCP,1400_8.png,19.021897782310962,0.8461735248565674,7.657610543896672,0.4531907433380084,,44.623166000064884
indoor,DCP-Improved,1400_8.png,14.734269517965902,0.7582151889801025,7.523775637984885,0.5102279102384292,,105.76711099997738
indoor,DCP,1400_9.png,18.726945403795373,0.8391271233558655,7.645564262260228,0.4464796633941094,,45.27409100001023
indoor,DCP-Improved,1400_9.png,15.418647245631663,0.774426281452179,7.399359795428978,0.474758064516129,,106.74375700000382
indoor,DCP,1401_1.png,20.465040044266168,0.8912670612335205,7.513038624498377,0.36853085553997195,,45.41882599994551
indoor,DCP-Improved,1401_1.png,23.032148323160158,0.8674570918083191,7.722831690185962,0.4120021037868163,,115.71691899996495
indoor,DCP,1401_10.png,19.925974167294363,0.8305163979530334,7.4896858682396825,0.3641234221598878,,45.45613699997375
indoor,DCP-Improved,1401_10.png,19.174662358057994,0.8175530433654785,7.706115366284556,0.3922159887798036,,113.77258300001358
indoor,DCP,1401_2.png,20.492746210613294,0.883685290813446,7.510283851278197,0.3691058906030856,,49.52485700005127
indoor,DCP-Improved,1401_2.png,22.72465289196831,0.860508143901825,7.726257212601355,0.4103366058906031,,114.68295400004536
indoor,DCP,1401_3.png,20.45008521141295,0.8753626346588135,7.499382171227393,0.3688604488078541,,45.795691999956034
indoor,DCP-Improved,1401_3.png,22.37784925893355,0.8540530800819397,7.727147823659273,0.4091234221598878,,114.24457999999049
indoor,DCP,1401_4.png,20.43847144172085,0.8683056831359863,7.495577911053723,0.3685553997194951,,45.66582599989033
indoor,DCP-Improved,1401_4.png,21.986310140115314,0.8481409549713135,7.723745825504364,0.40793478260869565,,114.56289400007336
indoor,DCP,1401_5.png,20.409869663502565,0.861578643321991,7.491789272119086,0.36908485273492286,,44.989330000021255
indoor,DCP-Improved,1401_5.png,21.57951192490401,0.8425486087799072,7.71868888486442,0.4058345021037868,,114.15753500000392
indoor,DCP,1401_6.png,20.35944801146784,0.8544767498970032,7.491697400249913,0.3677629733520337,,45.12706199989225
indoor,DCP-Improved,1401_6.png,21.13818944210617,0.837149441242218,7.717288637248002,0.40269284712482467,,113.54714499998408
