subset,algorithm,psnr,ssim,entropy,edge_vis,time_ms
indoor,CAP,20.949,0.8576,7.3387,0.3913,24.4282
indoor,CLAHE,13.1487,0.7191,7.4555,0.5617,5.2348
indoor,DCP,19.8219,0.8586,7.2593,0.4035,35.7967
indoor,Hybrid,18.7171,0.8173,7.4609,0.5726,43.3264
outdoor,CAP,21.6712,0.9155,7.353,0.4934,20.7294
outdoor,CLAHE,16.3914,0.8124,7.4004,0.6288,5.5479
outdoor,DCP,17.0532,0.8591,7.305,0.5225,33.6891
outdoor,Hybrid,16.6176,0.8102,7.5319,0.7008,37.0975
